,vectorized
0,"  (0, 30)	0.582395312959625
  (0, 119)	0.2357812144704818
  (0, 124)	0.3561561725962528
  (0, 167)	0.14450314558940217"
79,"  (0, 51)	0.3395601262917177
  (0, 14)	0.24185499711878813
  (0, 28)	0.22252847025514347
  (0, 187)	0.2359234637826935
  (0, 134)	0.20050917643015237
  (0, 4)	0.2328109815495141
  (0, 0)	0.15285965532070633
  (0, 42)	0.24753132678717
  (0, 141)	0.20743104335939946
  (0, 52)	0.19351463490027512
  (0, 150)	0.1906327858808573
  (0, 199)	0.3415209505627184
  (0, 117)	0.1753260289948839
  (0, 79)	0.17518705589125777
  (0, 91)	0.32268573148438234
  (0, 10)	0.15305670996486634
  (0, 77)	0.18129672830088067
  (0, 66)	0.18906632483713853
  (0, 17)	0.12107420490174056
  (0, 156)	0.14004704255242187
  (0, 75)	0.12908028500017638"
80,"  (0, 14)	0.3436669625427656
  (0, 117)	0.49826354267770356
  (0, 156)	0.796006570886757"
81,"  (0, 148)	0.3103714746460233
  (0, 34)	0.3234513319233604
  (0, 54)	0.27496862738739813
  (0, 168)	0.2637786517955584
  (0, 76)	0.254753206130388
  (0, 83)	0.2666955163521192
  (0, 41)	0.22424171135654028
  (0, 150)	0.18780201936174928
  (0, 79)	0.1725856479009868
  (0, 66)	0.18625881919341225
  (0, 167)	0.26365910505564977
  (0, 58)	0.4683789558836358
  (0, 17)	0.11927633574728319
  (0, 75)	0.2543270620613376"
82,"  (0, 64)	0.3228718417886651
  (0, 126)	0.2822400706242758
  (0, 104)	0.2702034306221812
  (0, 157)	0.2926075371360456
  (0, 162)	0.29855121276772834
  (0, 14)	0.22376602266110532
  (0, 114)	0.20889154139810986
  (0, 183)	0.29855121276772834
  (0, 141)	0.19191672738594964
  (0, 164)	0.19767588326722704
  (0, 181)	0.2482665080433709
  (0, 117)	0.16221293189936373
  (0, 66)	0.17492555469995089
  (0, 167)	0.24761627612199208
  (0, 17)	0.3360562353534298
  (0, 156)	0.12957255409535462"
83,"  (0, 44)	0.4985206025201804
  (0, 39)	0.4957399191697521
  (0, 74)	0.3838690612130972
  (0, 150)	0.27389206348113193
  (0, 181)	0.385532426391741
  (0, 79)	0.2517003778312784
  (0, 167)	0.1922613414506999
  (0, 75)	0.18545637598522366"
84,"  (0, 179)	0.9332430017198824
  (0, 30)	0.2092230335820699
  (0, 172)	0.2048774934935269
  (0, 130)	0.2081067865769633"
85,"  (0, 170)	0.827508806331585
  (0, 99)	0.5614527366071659"
86,"  (0, 123)	0.4251584797357838
  (0, 28)	0.2786247818459303
  (0, 96)	0.31428988593373125
  (0, 164)	0.26751538861299456
  (0, 128)	0.34049066010603135
  (0, 197)	0.3420517447027682
  (0, 105)	0.44009506833457535
  (0, 10)	0.19164016350411692
  (0, 167)	0.1675499389172566
  (0, 17)	0.1515953167216688
  (0, 156)	0.1753509410934997
  (0, 75)	0.1616196175147767"
87,"  (0, 189)	0.24556404738889592
  (0, 28)	0.18602390537981683
  (0, 94)	0.41527658827170716
  (0, 173)	0.26541294541285626
  (0, 134)	0.1676167549314537
  (0, 25)	0.19240724802178147
  (0, 56)	0.19213694435514084
  (0, 4)	0.1946196275626807
  (0, 113)	0.2191960191824401
  (0, 83)	0.22630608240548217
  (0, 181)	0.448634046931269
  (0, 199)	0.14274816368409335
  (0, 105)	0.14691479129675067
  (0, 79)	0.14644858822567117
  (0, 167)	0.33559427604080966
  (0, 81)	0.18459761851713044
  (0, 75)	0.10790537811068061"
88,"  (0, 125)	0.32232791781680353
  (0, 133)	0.37449801271791106
  (0, 141)	0.2555051371678688
  (0, 41)	0.28037521570365914
  (0, 49)	0.5496290806217033
  (0, 186)	0.3256419246809038
  (0, 117)	0.21595948399015583
  (0, 116)	0.32363706360975875
  (0, 167)	0.16482990163831415
  (0, 75)	0.1589958541909016"
89,"  (0, 111)	0.4641149616323276
  (0, 92)	0.39781122105845934
  (0, 28)	0.30571123304877584
  (0, 198)	0.47402129518576885
  (0, 56)	0.3157573864128063
  (0, 141)	0.28497027802908903
  (0, 77)	0.24906676567282995
  (0, 167)	0.18383827197383149
  (0, 75)	0.17733143558865241"
90,"  (0, 29)	0.2768856803740446
  (0, 39)	0.29482183574797144
  (0, 70)	0.2792945341529049
  (0, 198)	0.29482183574797144
  (0, 7)	0.27345809807251187
  (0, 56)	0.19638816495938716
  (0, 150)	0.325773083142239
  (0, 110)	0.2495395508029675
  (0, 137)	0.4723608016652052
  (0, 119)	0.3731295269657689
  (0, 167)	0.11433987750026937
  (0, 156)	0.1196634582725158"
91,"  (0, 179)	0.9332430017198824
  (0, 30)	0.2092230335820699
  (0, 172)	0.2048774934935269
  (0, 130)	0.2081067865769633"
92,"  (0, 163)	0.3797279573593504
  (0, 95)	0.2959646973840061
  (0, 41)	0.31119657702583675
  (0, 199)	0.23345782235923215
  (0, 117)	0.23969968966527805
  (0, 119)	0.29851289027458916
  (0, 17)	0.165528470061136
  (0, 156)	0.19146747822215882
  (0, 75)	0.3529482123541483
  (0, 30)	0.3090911429953739
  (0, 172)	0.30267135292778985
  (0, 130)	0.30744207952102065"
93,"  (0, 166)	0.6774277081992975
  (0, 105)	0.4558745678223555
  (0, 77)	0.4702761825826853
  (0, 75)	0.33482889760605306"
94,"  (0, 135)	0.4975312344194089
  (0, 149)	0.4999725562167242
  (0, 182)	0.4463643120542
  (0, 108)	0.41827011433607114
  (0, 10)	0.22765073790629023
  (0, 167)	0.1990337856805675
  (0, 75)	0.19198911394469198"
95,"  (0, 69)	0.3292078214091038
  (0, 191)	0.30345204284842475
  (0, 189)	0.3232591264857322
  (0, 107)	0.33917885899960415
  (0, 0)	0.1682139710793049
  (0, 99)	0.22776624441907634
  (0, 146)	0.6503748666364039
  (0, 105)	0.1933978023550396
  (0, 167)	0.1472581371745074
  (0, 17)	0.133235762955645"
96,"  (0, 126)	0.26690294129520514
  (0, 55)	0.2872632342923029
  (0, 189)	0.25701316672594166
  (0, 16)	0.2885672591605405
  (0, 192)	0.2859885158486637
  (0, 95)	0.1894055067402865
  (0, 4)	0.20369352647007133
  (0, 193)	0.19033161030886825
  (0, 0)	0.13374163898987806
  (0, 99)	0.18108977892695444
  (0, 141)	0.18148783377839137
  (0, 49)	0.19520349439804924
  (0, 128)	0.23792759217248313
  (0, 150)	0.1667905188940899
  (0, 174)	0.22120580062229225
  (0, 66)	0.16541997369064038
  (0, 156)	0.12253148790208557
  (0, 75)	0.4517453304728383"
97,"  (0, 1)	0.4412983541249611
  (0, 61)	0.492866426288123
  (0, 173)	0.5163957992239101
  (0, 96)	0.4082629982949506
  (0, 81)	0.359158949842115"
98,"  (0, 141)	1.0"
99,"  (0, 134)	0.4520907240743414
  (0, 52)	0.43632003765933935
  (0, 27)	0.7779709518631723"
100,"  (0, 30)	0.582395312959625
  (0, 172)	0.5702990244367228
  (0, 130)	0.5792881167167013"
101,"  (0, 129)	0.4529456095782544
  (0, 103)	0.44829425224994474
  (0, 145)	0.46043112476653975
  (0, 161)	0.46307838454207656
  (0, 0)	0.20284125642278394
  (0, 52)	0.256789481809403
  (0, 17)	0.16066269278923273
  (0, 156)	0.18583921316601512"
102,"  (0, 0)	0.3366478977163985
  (0, 117)	0.38612633891041315
  (0, 77)	0.3992758083701176
  (0, 156)	0.308430254914263
  (0, 177)	0.6342005852061541
  (0, 75)	0.28427780038345146"
103,"  (0, 42)	0.7387461875867666
  (0, 150)	0.5689350339062909
  (0, 17)	0.3613405561517632"
104,"  (0, 60)	0.29781334649879393
  (0, 31)	0.3011024503995448
  (0, 14)	0.25148850553285956
  (0, 15)	0.3182855672592024
  (0, 114)	0.23477121745256574
  (0, 4)	0.4841685019455579
  (0, 0)	0.31789664659267947
  (0, 99)	0.21522030793059663
  (0, 164)	0.22216604590614644
  (0, 49)	0.23199407731577604
  (0, 117)	0.18230957200887576
  (0, 167)	0.1391467893270014
  (0, 17)	0.25179360535902345"
105,"  (0, 90)	0.3030393042162858
  (0, 101)	0.26341540595123947
  (0, 132)	0.2760666901608276
  (0, 162)	0.3067758707175805
  (0, 14)	0.22993045582526828
  (0, 114)	0.21464620392548495
  (0, 25)	0.21881630893951076
  (0, 4)	0.22133235098101464
  (0, 0)	0.14532298544123426
  (0, 52)	0.1839734913131721
  (0, 122)	0.25081654872714104
  (0, 74)	0.254005249655738
  (0, 150)	0.18123373043765503
  (0, 155)	0.19300931890641387
  (0, 10)	0.29102064880679474
  (0, 167)	0.25443774958056403
  (0, 17)	0.2302094019423222
  (0, 156)	0.1331420922233143"
106,"  (0, 60)	0.4946487646447682
  (0, 200)	0.40504083108858774
  (0, 77)	0.3131163991437476
  (0, 17)	0.20910647105064792
  (0, 30)	0.39046429971171964
  (0, 172)	0.3823543978596534
  (0, 130)	0.3883810940641766"
107,"  (0, 101)	0.35511321342431423
  (0, 187)	0.3023696742817182
  (0, 159)	0.3680644996921138
  (0, 134)	0.25698119803600555
  (0, 113)	0.33605981476769653
  (0, 49)	0.28594395445986664
  (0, 155)	0.26019799111667097
  (0, 186)	0.33882974159902124
  (0, 89)	0.30703888632311477
  (0, 75)	0.33086970753909206"
108,"  (0, 135)	0.3791414860440089
  (0, 18)	0.35846278729994296
  (0, 101)	0.3140489763967248
  (0, 28)	0.2522221530432309
  (0, 63)	0.2759090314355337
  (0, 99)	0.23459449654233677
  (0, 141)	0.2351101605296828
  (0, 96)	0.2845076133742876
  (0, 49)	0.25287824505041145
  (0, 150)	0.21607038254642258
  (0, 155)	0.23010946842193641
  (0, 10)	0.1734802422395192
  (0, 17)	0.13723006590258296
  (0, 75)	0.2926089175092942"
109,"  (0, 126)	0.3198606090678382
  (0, 148)	0.330339343837525
  (0, 15)	0.32094826780136887
  (0, 56)	0.2409954646843251
  (0, 164)	0.2240246336391037
  (0, 181)	0.2813586189170538
  (0, 88)	0.2670527635892629
  (0, 105)	0.36854753276515034
  (0, 10)	0.16048466460991578
  (0, 167)	0.42093257374991994
  (0, 17)	0.12695002506605738
  (0, 81)	0.2315389630217429
  (0, 75)	0.13534464611685956"
110,"  (0, 51)	0.4686252412732882
  (0, 101)	0.3823919372683318
  (0, 31)	0.39963195298024506
  (0, 194)	0.4238927617769113
  (0, 14)	0.33378287850138255
  (0, 79)	0.24177478442939354
  (0, 119)	0.3013359900518895
  (0, 167)	0.1846796766213376"
111,"  (0, 192)	0.6516661369935114
  (0, 182)	0.5983056457224951
  (0, 0)	0.30474963995349486
  (0, 17)	0.24138037125655484
  (0, 75)	0.2573417445981226"
112,"  (0, 102)	0.5494147439444735
  (0, 194)	0.5116512396683032
  (0, 15)	0.5098951620326674
  (0, 164)	0.35591118048786213
  (0, 167)	0.2229138923928555"
113,"  (0, 165)	0.29206304241287906
  (0, 28)	0.1873099851583273
  (0, 166)	0.43964818190306804
  (0, 159)	0.2417309072019341
  (0, 97)	0.568728637859629
  (0, 74)	0.22489334510810804
  (0, 150)	0.16046227367263646
  (0, 167)	0.11263813779932938
  (0, 58)	0.20009676268904744
  (0, 17)	0.10191238674853166
  (0, 177)	0.24239237537732047
  (0, 75)	0.3259541519324787"
114,"  (0, 115)	0.35460156259098885
  (0, 170)	0.3099767682270297
  (0, 64)	0.35460156259098885
  (0, 28)	0.22611799915754136
  (0, 0)	0.15532538094293857
  (0, 42)	0.2515241680210701
  (0, 41)	0.23129342516118692
  (0, 150)	0.19370781665727613
  (0, 199)	0.17351495276779882
  (0, 186)	0.2686358562275179
  (0, 201)	0.35669306184411603
  (0, 88)	0.2588007096114174
  (0, 79)	0.17801293700088233
  (0, 10)	0.15552561420662422
  (0, 66)	0.19211608757848542
  (0, 167)	0.13597518747592233
  (0, 17)	0.12302721054336181"
115,"  (0, 92)	0.5872676096670196
  (0, 0)	0.3100114321851537
  (0, 164)	0.4333107304684798
  (0, 89)	0.4858599703785769
  (0, 77)	0.36768405811932586"
116,"  (0, 94)	0.24828740746097316
  (0, 114)	0.22568993621228142
  (0, 8)	0.3019221630248279
  (0, 134)	0.6012926907652594
  (0, 25)	0.2300745967252655
  (0, 52)	0.19343908608621208
  (0, 155)	0.202939814800948
  (0, 88)	0.25459292349748225
  (0, 117)	0.17525758107841613
  (0, 79)	0.3502373244607856
  (0, 156)	0.13999236767998485
  (0, 81)	0.22073608491071625
  (0, 75)	0.12902989158959166"
117,"  (0, 184)	0.2987995074612763
  (0, 1)	0.30981067108731797
  (0, 114)	0.2578039790829712
  (0, 74)	0.30507673963777887
  (0, 128)	0.31051235394947085
  (0, 152)	0.35704635944986335
  (0, 105)	0.20067357440519343
  (0, 10)	0.5243019435164007
  (0, 167)	0.15279810001568328
  (0, 58)	0.27143919240431147
  (0, 17)	0.13824819344032027"
118,"  (0, 37)	0.46830781730568866
  (0, 134)	0.3002955457982518
  (0, 22)	0.5085472658734673
  (0, 83)	0.40544102265438736
  (0, 141)	0.31066218259996053
  (0, 105)	0.26320672689514746
  (0, 79)	0.2623714959199392
  (0, 17)	0.18132858101745244"
119,"  (0, 4)	0.6879933140705908
  (0, 164)	0.6313866085163703
  (0, 17)	0.3577934465307619"
120,"  (0, 102)	0.3102416820754287
  (0, 191)	0.25938671859505114
  (0, 132)	0.5462977677124413
  (0, 125)	0.24614946441955762
  (0, 134)	0.1886084344626575
  (0, 0)	0.14378703656280306
  (0, 96)	0.23611474198351684
  (0, 49)	0.20986532091418048
  (0, 200)	0.44120437587713246
  (0, 88)	0.23957570146920665
  (0, 79)	0.1647892477443911
  (0, 119)	0.20538507039167148"
121,"  (0, 191)	0.2742932277751279
  (0, 166)	0.2597730814068112
  (0, 187)	0.2346741983125655
  (0, 106)	0.31834452729622564
  (0, 26)	0.286442736957187
  (0, 164)	0.2125244092286965
  (0, 74)	0.26576357938629724
  (0, 79)	0.17425940276074967
  (0, 89)	0.4765961048827072
  (0, 77)	0.18033672314123245
  (0, 167)	0.13310805022961755
  (0, 17)	0.36129927285848285
  (0, 81)	0.21965299320115336
  (0, 75)	0.12839677713563633"
122,"  (0, 147)	0.3156441763526161
  (0, 11)	0.31379337063275614
  (0, 29)	0.291383904768211
  (0, 175)	0.5852752388011463
  (0, 61)	0.2724821965300571
  (0, 84)	0.291383904768211
  (0, 25)	0.20696214808600102
  (0, 93)	0.2877768481895327
  (0, 193)	0.19560944796377575
  (0, 164)	0.19211765683745063
  (0, 167)	0.12032691590168104"
123,"  (0, 191)	0.48819468715362085
  (0, 99)	0.36643111509342513
  (0, 76)	0.4578141020360654
  (0, 199)	0.6046297627257818
  (0, 75)	0.22852414167751112"
124,"  (0, 28)	0.33498544029732535
  (0, 48)	0.5165834821482874
  (0, 193)	0.32747451363431657
  (0, 0)	0.23010879858470892
  (0, 122)	0.3971504887374088
  (0, 27)	0.5194124883621087
  (0, 17)	0.18226025546823574"
125,"  (0, 53)	0.2860022160034698
  (0, 20)	0.8012453818983277
  (0, 94)	0.20811866755600752
  (0, 8)	0.2530762188744172
  (0, 193)	0.18227366101086712
  (0, 156)	0.3520318488260267
  (0, 75)	0.10815501836009489"
126,"  (0, 53)	0.6045347359094208
  (0, 0)	0.27072695438478955
  (0, 181)	0.47524513512351657
  (0, 89)	0.4242920627505019
  (0, 77)	0.3210913369511928
  (0, 75)	0.22861174425587413"
127,"  (0, 128)	0.6653218450294328
  (0, 17)	0.296218626929953
  (0, 156)	0.6852746657993163"
128,"  (0, 6)	0.2660496584160035
  (0, 191)	0.23718727147567026
  (0, 138)	0.5598581198438757
  (0, 14)	0.20802980700470877
  (0, 166)	0.22463138766306712
  (0, 94)	0.21364600589233856
  (0, 63)	0.20938172409210945
  (0, 197)	0.23497851349565738
  (0, 110)	0.251201531205984
  (0, 105)	0.30233111380235955
  (0, 10)	0.13165060972103174
  (0, 89)	0.20606146682873383
  (0, 116)	0.22599710119493382
  (0, 17)	0.20828218377962168
  (0, 75)	0.11102746313532132"
129,"  (0, 143)	0.21307261548719364
  (0, 129)	0.22996611272476564
  (0, 157)	0.21307261548719364
  (0, 98)	0.23119656227232963
  (0, 125)	0.17630037813867325
  (0, 121)	0.2069322671500793
  (0, 114)	0.15211182703797718
  (0, 159)	0.19348087403924333
  (0, 134)	0.13508759157498168
  (0, 193)	0.29312196150446784
  (0, 76)	0.1742200768615967
  (0, 160)	0.19969078137020688
  (0, 122)	0.17774441280820363
  (0, 199)	0.23009043030001813
  (0, 117)	0.11812113250375227
  (0, 79)	0.11802750316370512
  (0, 174)	0.17033502230488773
  (0, 66)	0.12737828225572137
  (0, 167)	0.45077655984969994
  (0, 17)	0.24471133491084102
  (0, 156)	0.18870575424457914
  (0, 177)	0.19401031167799754"
130,"  (0, 67)	0.39944023150636904
  (0, 92)	0.3739476557542408
  (0, 65)	0.44315919688120387
  (0, 9)	0.35781565376451274
  (0, 95)	0.2795621916443009
  (0, 141)	0.2678757204109943
  (0, 116)	0.3393063346088574
  (0, 75)	0.333387652834287"
131,"  (0, 127)	0.31408337032540967
  (0, 60)	0.2577715189392314
  (0, 14)	0.2176751808778491
  (0, 151)	0.2736386768489809
  (0, 114)	0.20320557838466635
  (0, 173)	0.285754300626477
  (0, 95)	0.389675122776041
  (0, 0)	0.13757728191374877
  (0, 99)	0.5588500280533634
  (0, 79)	0.15767246710994262
  (0, 17)	0.10896962959456173
  (0, 156)	0.12604562933232896
  (0, 75)	0.23235057964402905"
132,"  (0, 39)	0.4511358953971922
  (0, 168)	0.3500840516844483
  (0, 118)	0.4312296708208012
  (0, 190)	0.3829530739299342
  (0, 150)	0.24924872200665882
  (0, 169)	0.4589659382232707
  (0, 10)	0.2001187213259815
  (0, 75)	0.16877000419359642"
133,"  (0, 69)	0.42129595271333453
  (0, 1)	0.38209808671182943
  (0, 100)	0.4832662832917776
  (0, 0)	0.21526786606166978
  (0, 99)	0.2914784847083813
  (0, 96)	0.35349443084386045
  (0, 105)	0.24749628075992736
  (0, 79)	0.24671090356847783
  (0, 167)	0.18845013137956199
  (0, 17)	0.17050532836561036"
134,"  (0, 29)	0.37091026610417366
  (0, 51)	0.38866251097401644
  (0, 194)	0.35156284951336403
  (0, 198)	0.39493716469149626
  (0, 49)	0.2553699481879465
  (0, 150)	0.21819940416317726
  (0, 155)	0.23237682235872584
  (0, 79)	0.20052013107789438
  (0, 77)	0.20751329793139198
  (0, 66)	0.2164064236703155
  (0, 167)	0.15316730837308787
  (0, 156)	0.16029866582788124
  (0, 81)	0.2527544929602376
  (0, 75)	0.14774605084906253"
135,"  (0, 141)	0.2933483640127723
  (0, 17)	0.3424455602870916
  (0, 177)	0.8144858092689256
  (0, 75)	0.3650899095705513"
136,"  (0, 179)	1.0"
137,"  (0, 189)	0.4359897875267849
  (0, 52)	0.28721593017377894
  (0, 41)	0.33783795935326305
  (0, 74)	0.39654818489424604
  (0, 155)	0.3013224930734581
  (0, 79)	0.5200279889750278
  (0, 10)	0.22716796248796214
  (0, 156)	0.2078589126631655"
138,"  (0, 6)	0.43349300923443435
  (0, 191)	0.3864655368334359
  (0, 159)	0.4024822466445748
  (0, 9)	0.3883198843456805
  (0, 113)	0.36748480053850796
  (0, 0)	0.21423122423505905
  (0, 74)	0.3744476858265843
  (0, 17)	0.16968424457694517"
139,"  (0, 185)	0.7777761630841453
  (0, 0)	0.3604742240014886
  (0, 119)	0.5149005476484074"
140,"  (0, 6)	0.48555251740975386
  (0, 56)	0.36080430431392696
  (0, 190)	0.45978438718899145
  (0, 164)	0.33539656937202306
  (0, 41)	0.3573203425382551
  (0, 89)	0.3760713866559122
  (0, 75)	0.20263008247384814"
141,"  (0, 59)	0.4578846030804972
  (0, 67)	0.2040877750548044
  (0, 69)	0.3947805424400474
  (0, 191)	0.18194732064304592
  (0, 189)	0.19382348322785653
  (0, 168)	0.17666957634475225
  (0, 8)	0.1992917698236812
  (0, 173)	0.418980401412059
  (0, 134)	0.2645995098518108
  (0, 42)	0.16332586095796328
  (0, 52)	0.2553692477092282
  (0, 122)	0.17407625659623793
  (0, 150)	0.12578312525095664
  (0, 174)	0.16681977555079033
  (0, 77)	0.11962301751027517
  (0, 17)	0.15977411030790456"
142,"  (0, 156)	1.0"
143,"  (0, 59)	0.36968075350621027
  (0, 20)	0.3396120628297664
  (0, 11)	0.3718062418494306
  (0, 175)	0.34673929941123266
  (0, 28)	0.2370888691718772
  (0, 63)	0.25935453911594536
  (0, 193)	0.23177294526967687
  (0, 96)	0.26743720768309326
  (0, 41)	0.24251539825518184
  (0, 186)	0.28166962209685303
  (0, 117)	0.18679789558222598
  (0, 10)	0.1630714588705505
  (0, 156)	0.1492105478078799
  (0, 75)	0.13752621751269184"
144,"  (0, 92)	0.2337273001327077
  (0, 132)	0.23438553224161066
  (0, 154)	0.25728576152190935
  (0, 108)	0.22698563535668703
  (0, 142)	0.7846796154690112
  (0, 61)	0.2445928111751614
  (0, 0)	0.12338180049806202
  (0, 52)	0.15619676772545224
  (0, 199)	0.1378305796249231
  (0, 10)	0.12354085461042384
  (0, 66)	0.1526062813828529"
145,"  (0, 31)	0.7984513733418485
  (0, 119)	0.602059303066165"
146,"  (0, 135)	0.482381077589238
  (0, 132)	0.4187541988685726
  (0, 71)	0.4543240614927518
  (0, 114)	0.3255879914836274
  (0, 134)	0.28914844079992436
  (0, 95)	0.31218025992282705
  (0, 79)	0.2526321486185553
  (0, 75)	0.18614291779714381"
147,"  (0, 78)	0.24836737438707435
  (0, 115)	0.2552518822833896
  (0, 123)	0.24836737438707435
  (0, 125)	0.38280702013340684
  (0, 159)	0.6301674247021031
  (0, 176)	0.25675740052548146
  (0, 134)	0.14666014597864838
  (0, 128)	0.1989064673164018
  (0, 200)	0.17153818798429726
  (0, 167)	0.19575730176406142
  (0, 58)	0.17387717482295262
  (0, 17)	0.08855834371911475
  (0, 81)	0.16151794425387042
  (0, 75)	0.09441429952551832"
148,"  (0, 101)	0.2113905826759169
  (0, 16)	0.2516281294547121
  (0, 14)	0.18451894586924758
  (0, 140)	0.6783970725712203
  (0, 4)	0.35523795178151446
  (0, 193)	0.16596750170981525
  (0, 0)	0.11662154101310546
  (0, 200)	0.3578482139037801
  (0, 199)	0.2605573030982076
  (0, 10)	0.1167718803306809
  (0, 66)	0.14424477217308426"
149,"  (0, 109)	0.40707077119521984
  (0, 155)	0.2753810092068655
  (0, 117)	0.47563470574629535
  (0, 79)	0.237628845691331
  (0, 10)	0.20761059730828554
  (0, 17)	0.3284571843213677
  (0, 156)	0.5698917119460097"
150,"  (0, 53)	0.3395802456494184
  (0, 62)	0.34717694189409304
  (0, 107)	0.30663333545882204
  (0, 8)	0.3004860793538675
  (0, 193)	0.21641977270811824
  (0, 99)	0.20591119221623477
  (0, 52)	0.19251899890191662
  (0, 117)	0.34884794734969643
  (0, 79)	0.17428571559013964
  (0, 23)	0.33278476929601697
  (0, 17)	0.12045127611428773
  (0, 156)	0.2786529964026824
  (0, 177)	0.2864859892508833
  (0, 75)	0.12841616479815246"
151,"  (0, 184)	0.29880357153902315
  (0, 134)	0.22895387553542063
  (0, 56)	0.26244690193192627
  (0, 128)	0.31051657733778404
  (0, 117)	0.2001981881093485
  (0, 79)	0.4000789999146606
  (0, 77)	0.20701590473510506
